lang,n_revisions_tot,n_revisions_sel,n_sources_revisions,n_pages,nrev_per_page,№,Language,Language (local),Articles,All pages,Edits,Admins,Users,Active users,Files,Depth,n_domain_pos,n_domain_neg,n_domain_all,n_users,rank_n_users,perc_n_users,sel,rank_active_users_sel,perc_active_users_sel,class
bat-smg,3944,3026,89,142,0.6267605633802817,135.0,Samogitian,žemaitėška,17220.0,29904.0,360479.0,4.0,26094.0,24.0,109.0,6.0,0.0,0.0,0.0,11.0,167.5,0.5218068535825545,False,,1.0,low
zh-classical,3880,2413,180,153,1.1764705882352942,154.0,Literary Chinese,文言,12770.0,106255.0,401494.0,7.0,101797.0,54.0,0.0,202.0,0.0,0.0,0.0,32.0,110.0,0.3426791277258567,False,,1.0,low
pms,3816,2922,35,248,0.14112903225806453,91.0,Piedmontese,Piemontèis,68765.0,104392.0,870300.0,4.0,27669.0,42.0,2069.0,2.0,0.0,0.0,0.0,8.0,206.5,0.6433021806853583,False,,1.0,low
ha,3694,1569,5026,365,13.76986301369863,107.0,Hausa,Hausa,38106.0,64822.0,379141.0,7.0,26906.0,164.0,0.0,2.0,76.0,15.0,1611.0,58.0,86.5,0.26947040498442365,True,64.5,0.4387755102040816,low
mi,3672,3077,156,117,1.3333333333333333,181.0,Māori,Māori,7890.0,15176.0,164215.0,2.0,19022.0,20.0,0.0,9.0,0.0,0.0,0.0,12.0,161.5,0.5031152647975078,False,,1.0,low
nds-nl,3663,2835,231,149,1.5503355704697988,182.0,Low Saxon,Nedersaksies,7881.0,21447.0,327040.0,6.0,28558.0,23.0,567.0,45.0,0.0,0.0,0.0,13.0,155.0,0.48286604361370716,False,,1.0,low
fo,3518,2603,325,381,0.8530183727034121,148.0,Faroese,føroyskt,14068.0,40812.0,378664.0,3.0,30049.0,58.0,0.0,33.0,11.0,5.0,102.0,24.0,122.0,0.38006230529595014,True,109.5,0.7448979591836735,low
frr,3312,1551,64,374,0.1711229946524064,129.0,Northern Frisian,Nordfriisk,18905.0,47407.0,258422.0,4.0,20248.0,26.0,1493.0,12.0,0.0,0.0,0.0,8.0,206.5,0.6433021806853583,False,,1.0,low
mg,3156,1946,468,466,1.0042918454935623,72.0,Malagasy,Malagasy,96845.0,249002.0,1071317.0,3.0,32552.0,38.0,3.0,10.0,8.0,2.0,60.0,23.0,124.5,0.3878504672897196,True,122.0,0.8299319727891157,low
as,3153,1282,2962,198,14.95959595959596,155.0,Assamese,অসমীয়া,12732.0,91632.0,406880.0,6.0,40331.0,93.0,1845.0,170.0,45.0,11.0,932.0,58.0,86.5,0.26947040498442365,True,88.0,0.5986394557823129,low
co,3012,1771,219,180,1.2166666666666666,178.0,Corsican,corsu,8059.0,17042.0,392204.0,2.0,22577.0,33.0,0.0,28.0,0.0,0.0,0.0,8.0,206.5,0.6433021806853583,False,,1.0,low
szl,2963,1515,792,364,2.1758241758241756,97.0,Silesian,ślůnski,57909.0,73739.0,368434.0,3.0,24716.0,41.0,0.0,0.0,0.0,0.0,0.0,16.0,142.5,0.4439252336448598,False,,1.0,low
ky,2923,2013,431,622,0.6929260450160771,83.0,Kyrgyz,кыргызча,79108.0,109739.0,465790.0,2.0,39447.0,164.0,2681.0,0.0,8.0,7.0,187.0,43.0,95.5,0.29750778816199375,True,64.5,0.4387755102040816,low
bcl,2888,1799,1964,345,5.6927536231884055,136.0,Central Bikol,Bikol Central,16558.0,42738.0,270292.0,4.0,23578.0,52.0,865.0,15.0,57.0,9.0,956.0,44.0,94.0,0.29283489096573206,True,112.0,0.7619047619047619,low
gu,2850,1864,3505,101,34.7029702970297,113.0,Gujarati,ગુજરાતી,30366.0,127250.0,860577.0,3.0,77216.0,64.0,0.0,68.0,30.0,8.0,700.0,65.0,81.0,0.2523364485981308,True,105.0,0.7142857142857143,low
wuu,2770,2107,680,914,0.7439824945295405,105.0,Wu,吴语,43303.0,58352.0,311982.0,4.0,95370.0,67.0,132.0,0.0,6.0,2.0,135.0,33.0,107.0,0.3333333333333333,True,102.0,0.6938775510204082,low
mt,2759,1582,664,113,5.876106194690266,198.0,Maltese,Malti,6155.0,21191.0,303109.0,5.0,22866.0,56.0,723.0,85.0,0.0,0.0,0.0,25.0,120.5,0.37538940809968846,False,,1.0,low
mrj,2745,2079,25,557,0.04488330341113106,168.0,Western Mari,кырык мары,10432.0,19864.0,105547.0,1.0,10928.0,13.0,0.0,4.0,0.0,0.0,0.0,9.0,189.0,0.5887850467289719,False,,1.0,low
xmf,2729,1042,932,463,2.012958963282937,126.0,Mingrelian,მარგალური,20822.0,38459.0,217673.0,5.0,19453.0,26.0,0.0,4.0,14.0,5.0,190.0,15.0,146.0,0.45482866043613707,True,130.5,0.8877551020408163,low
lij,2696,2121,330,325,1.0153846153846153,163.0,Ligurian,Ligure,11226.0,27168.0,245051.0,7.0,16412.0,24.0,9.0,18.0,0.0,0.0,0.0,12.0,161.5,0.5031152647975078,False,,1.0,low
csb,2522,2057,66,121,0.5454545454545454,209.0,Kashubian,kaszëbsczi,5459.0,8789.0,188386.0,3.0,16959.0,14.0,0.0,7.0,0.0,0.0,0.0,6.0,236.0,0.735202492211838,False,,1.0,low
ilo,2514,1632,1507,503,2.996023856858847,142.0,Iloko,Ilokano,15374.0,70333.0,400342.0,2.0,17614.0,18.0,0.0,72.0,0.0,0.0,0.0,7.0,222.5,0.6931464174454829,False,,1.0,low
ary,2513,1041,827,102,8.107843137254902,171.0,Moroccan Arabic,الدارجة,9697.0,67697.0,349500.0,4.0,12095.0,40.0,173.0,184.0,3.0,2.0,62.0,16.0,142.5,0.4439252336448598,True,120.0,0.8163265306122449,low
ps,2434,1599,5375,406,13.238916256157635,130.0,Pashto,پښتو,18893.0,64732.0,311624.0,2.0,32347.0,65.0,1740.0,28.0,55.0,11.0,1487.0,30.0,113.0,0.35202492211838005,True,103.5,0.7040816326530612,low
se,2416,1953,9,149,0.06040268456375839,184.0,Northern Sami,davvisámegiella,7846.0,20936.0,302802.0,5.0,29111.0,28.0,0.0,40.0,0.0,0.0,0.0,6.0,236.0,0.735202492211838,False,,1.0,low
fur,2382,1753,55,61,0.9016393442622951,221.0,Friulian,furlan,4027.0,9098.0,173372.0,2.0,14593.0,26.0,318.0,30.0,0.0,0.0,0.0,10.0,174.5,0.543613707165109,False,,1.0,low
hyw,2350,1119,1246,132,9.43939393939394,159.0,Western Armenian,Արեւմտահայերէն,11629.0,24613.0,213399.0,5.0,10237.0,37.0,0.0,10.0,23.0,10.0,443.0,33.0,107.0,0.3333333333333333,True,124.5,0.8469387755102041,low
diq,2334,1772,208,269,0.7732342007434945,106.0,Zazaki,Zazaki,41812.0,62941.0,527133.0,3.0,28184.0,41.0,199.0,2.0,0.0,0.0,0.0,17.0,138.5,0.43146417445482865,False,,1.0,low
rue,2240,1785,182,257,0.708171206225681,175.0,Rusyn,русиньскый,8752.0,19508.0,141584.0,1.0,29553.0,29.0,87.0,10.0,0.0,0.0,0.0,9.0,189.0,0.5887850467289719,False,,1.0,low
